Date,County,O3_Mean,CO_Mean,SO2_Mean,NO2_Mean
2001-01-01,Fairfax,0.029176,0.5,6.416667,4.416667
2001-01-01,Fairfax,0.018706,0.342105,19.208333,12.916667
2001-01-01,Fairfax,0.025706,0.573684,4.7083330000000005,11.333333
2002-01-01,Maricopa,0.012,1.7105259999999998,6.2083330000000005,32.791667
2002-01-01,Maricopa,0.017882,0.8947370000000001,1.708333,21.041667
2002-01-01,Pima,0.017765,0.173684,0.625,17.208333
2002-01-01,Alameda,0.007529,0.394737,1.583333,17.333333
2002-01-01,Contra Costa,0.011235,0.6,0.818182,11.478261
2002-01-01,Contra Costa,0.0055,0.2,2.761905,4.428571
2002-01-01,Contra Costa,0.010647,0.35,0.8636360000000001,7.304347999999999
2002-01-01,Contra Costa,0.010647,0.577778,0.590909,12.956522
2002-01-01,Contra Costa,0.007529,0.372222,1.0,10.695652
2002-01-01,Imperial,0.011059,1.555556,0.430435,20.434783
2002-01-01,Los Angeles,0.009765,1.583333,0.7391300000000001,30.608696
2002-01-01,Los Angeles,0.004118,1.116667,0.7391300000000001,31.869565
2002-01-01,Los Angeles,0.008882,1.25,3.521739,19.521739
2002-01-01,Los Angeles,0.008,1.133333,1.826087,34.173913
2002-01-01,Los Angeles,0.009529,0.5222220000000001,4.73913,26.69565200000001
2002-01-01,Orange,0.009,1.155556,0.043478,27.086957
2002-01-01,Riverside,0.006,1.327778,0.0,17.0
2002-01-01,Sacramento,0.007647,0.833333,1.2608700000000002,13.434783
2002-01-01,Sacramento,0.019824,0.472222,3.130435,12.217391
2002-01-01,San Bernardino,0.007765,0.6,1.136364,18.727273
2002-01-01,San Diego,0.014353,0.8888889999999999,3.0,17.652174
2002-01-01,San Diego,0.014118,1.1277780000000002,3.0,22.043478
2002-01-01,San Diego,0.013882,1.5,2.0,15.304348
2002-01-01,San Francisco,0.012765,0.666667,1.909091,14.913043
2002-01-01,Santa Barbara,0.023059,0.344444,0.043478,3.826087
2002-01-01,Santa Barbara,0.025588,0.377778,0.8695649999999999,4.8695650000000015
2002-01-01,Santa Barbara,0.012059,0.466667,0.043478,7.434783
2002-01-01,Santa Barbara,0.025118,0.25,0.0,0.695652
2002-01-01,Santa Cruz,0.020471,0.347368,1.958333,2.041667
2002-01-01,Solano,0.006706,0.622222,1.045455,11.26087
2002-01-01,Ventura,0.013765,0.1,2.782609,12.173913
2002-01-01,Adams,0.017353,0.310526,0.0,9.782609
2002-01-01,District of Columbia,0.016294,1.031579,7.458333,19.458333
2002-01-01,Orange,0.030176,0.5,2.125,9.916667
2002-01-01,Saint Clair,0.008706,0.526316,2.791667,23.958333
2002-01-01,Linn,0.025412,0.105263,0.333333,4.7083330000000005
2002-01-01,Sumner,0.027235,0.0,0.0,5.25
2002-01-01,Wyandotte,0.018294,0.394737,5.041667,14.0
2002-01-01,East Baton Rouge,0.024471,0.9,2.73913,8.625
2002-01-01,Suffolk,0.012529,0.242105,5.681818,25.35
2002-01-01,Clark,0.021882,0.131579,0.0,6.291667
2002-01-01,Camden,0.014176,0.331579,9.875,20.416667
2002-01-01,Essex,0.020706,0.621053,2.75,19.041667
2002-01-01,Bronx,0.012588,0.484211,13.125,23.166667
2002-01-01,Queens,0.014235,0.531579,8.041667,22.416667
2002-01-01,Suffolk,0.025235,0.063158,11.916667,15.125
2002-01-01,Philadelphia,0.008824,0.405556,6.130434999999999,21.652174
2002-01-01,El Paso,0.019706,0.257895,0.0,11.333333
2002-01-01,El Paso,0.029353,0.1,0.0,3.791667
2002-01-01,Fairfax,0.020882,0.578947,14.166667000000002,7.541666999999999
2002-01-01,Fairfax,0.022235,0.378947,20.541667,13.416667000000002
2003-01-01,Maricopa,0.011353,2.089474,4.3333330000000005,40.0
2003-01-01,Maricopa,0.017118,1.2,1.916667,29.541667
2003-01-01,Pima,0.016412,0.5473680000000001,1.25,24.375
2003-01-01,Alameda,0.016118,1.111111,2.0,15.869565
2003-01-01,Contra Costa,0.012824,0.838889,0.5,12.913043
2003-01-01,Contra Costa,0.012118,0.516667,1.863636,12.043478
2003-01-01,Contra Costa,0.020824,0.583333,2.363636,12.695652
2003-01-01,Contra Costa,0.016706,0.494444,1.545455,12.26087
2003-01-01,Fresno,0.011529,1.561111,2.826087,18.173913
2003-01-01,Fresno,0.013941,0.327778,0.608696,13.347826
2003-01-01,Imperial,0.017176,0.533333,0.091304,11.478261
2003-01-01,Los Angeles,0.013588,1.516667,0.043478,31.826087
2003-01-01,Los Angeles,0.009294,1.461111,2.173913,30.391304
2003-01-01,Los Angeles,0.013,1.894444,1.0,34.173913
2003-01-01,Los Angeles,0.009118,1.7333330000000002,0.0,35.434783
2003-01-01,Orange,0.015176,1.005556,2.826087,27.869565
2003-01-01,Riverside,0.031,0.638889,0.0,8.826087
2003-01-01,Sacramento,0.011412,0.633333,2.043478,17.391304
2003-01-01,Sacramento,0.020059,0.866667,1.086957,17.173913
2003-01-01,San Diego,0.014059,0.927778,3.73913,24.782609
2003-01-01,San Diego,0.008941,1.0,4.0,29.681818
2003-01-01,San Diego,0.020471,1.25,4.173913,18.391304
2003-01-01,San Francisco,0.010235,0.833333,2.681818,22.565217
2003-01-01,Santa Barbara,0.045941,0.25,0.173913,1.434783
2003-01-01,Santa Barbara,0.018706,0.327778,0.0,10.043478
2003-01-01,Santa Barbara,0.043176,0.147059,0.136364,0.818182
2003-01-01,Santa Cruz,0.023176,0.357895,1.083333,2.208333
2003-01-01,Solano,0.020059,0.6888890000000001,1.227273,11.434783
2003-01-01,Ventura,0.028941,0.2,0.565217,4.826087
2003-01-01,Adams,0.017294,0.1,0.043478,7.347825999999999
2003-01-01,District of Columbia,0.008294,1.463158,4.5,28.5
2003-01-01,Orange,0.025,0.552632,0.166667,7.0
2003-01-01,Linn,0.021412,0.147368,0.166667,2.708333
2003-01-01,East Baton Rouge,0.015824,0.768421,2.083333,14.652174
2003-01-01,Suffolk,0.013882,0.494737,6.3333330000000005,23.363636
2003-01-01,Clark,0.038059,0.0,0.0,0.0
2003-01-01,Camden,0.016765,1.005263,10.916667,32.75
2003-01-01,Essex,0.008588,1.163158,5.0,33.75
2003-01-01,Bronx,0.009647,0.942105,13.375,28.166667
2003-01-01,Queens,0.012765,0.8052630000000001,10.375,25.583333
2003-01-01,Suffolk,0.021294,0.326316,8.625,21.791667
2003-01-01,Philadelphia,0.004471,0.922222,6.4583330000000005,31.75
2003-01-01,Dallas,0.027235,0.736842,1.333333,18.583333
2003-01-01,El Paso,0.020588,0.347368,0.833333,13.666667000000002
2003-01-01,El Paso,0.025294,0.242105,0.0,7.833333
2003-01-01,Harris,0.025294,0.573684,9.833333,16.875
2004-01-01,Maricopa,0.012824,0.752632,2.875,26.291667
2004-01-01,Maricopa,0.015706,0.6,0.625,19.25
2004-01-01,Pima,0.016176,0.273684,0.833333,15.125
2004-01-01,Contra Costa,0.014471,0.338889,0.045455,9.434783
2004-01-01,Contra Costa,0.018059,0.3,1.181818,5.608696
2004-01-01,Contra Costa,0.017235,0.683333,1.136364,11.347826
2004-01-01,Contra Costa,0.019941,0.327778,1.136364,10.26087
2004-01-01,Imperial,0.012706,2.483333,0.313043,24.391304
2004-01-01,Los Angeles,0.008765,1.388889,2.217391,36.26087
2004-01-01,Los Angeles,0.008647,1.888889,3.782609,41.130435
2004-01-01,Los Angeles,0.009588,1.655556,1.2608700000000002,36.130435
2004-01-01,Orange,0.010353,1.033333,0.0,28.26087
2004-01-01,Riverside,0.012824,1.255556,1.7391299999999998,24.086957
2004-01-01,Sacramento,0.029824,0.261111,0.956522,4.913043
2004-01-01,San Bernardino,0.031647,0.552632,1.227273,19.954545
2004-01-01,San Diego,0.021529,0.805556,3.043478,23.347826
2004-01-01,San Diego,0.012882,1.361111,2.173913,30.0
2004-01-01,San Diego,0.018412,0.933333,8.652174,24.608696
2004-01-01,San Francisco,0.015235,0.472222,0.772727,15.217391
2004-01-01,Santa Barbara,0.032588,0.411111,0.565217,10.478261
2004-01-01,Santa Barbara,0.030941,0.483333,0.391304,7.521739
2004-01-01,Santa Barbara,0.020529,0.477778,0.545455,19.217391
2004-01-01,Santa Barbara,0.037471,0.277778,1.2608700000000002,5.608696
2004-01-01,Santa Cruz,0.025765,0.342105,1.041667,1.416667
2004-01-01,Solano,0.011154,0.266667,1.0,11.5
2004-01-01,Ventura,0.014941,0.2,0.0,18.863636
2004-01-01,Adams,0.010059,0.526316,2.521739,24.565217
2004-01-01,District of Columbia,0.008941,1.136842,10.208333,26.166667
2004-01-01,Orange,0.028824,0.657895,2.083333,6.25
2004-01-01,Saint Clair,0.015882,0.463158,2.25,15.416667000000002
2004-01-01,Linn,0.021941,0.1,1.208333,4.0
2004-01-01,Wyandotte,0.010471,1.089474,2.291667,17.458333
2004-01-01,East Baton Rouge,0.020471,0.563158,1.875,15.75
2004-01-01,Suffolk,0.008176,0.489474,6.9565220000000005,16.0
2004-01-01,Bronx,0.0069409999999999,0.384211,12.583333,21.291667
2004-01-01,Suffolk,0.014706,0.136842,15.708332999999998,14.333332999999998
2004-01-01,Philadelphia,0.005765,0.8947370000000001,8.375,26.833333000000003
2004-01-01,Dallas,0.017353,0.4,0.375,11.291667
2004-01-01,El Paso,0.012529,0.515789,0.5,21.041667
2004-01-01,El Paso,0.0168819999999999,0.263158,0.125,11.708333
2004-01-01,Harris,0.016765,0.1,6.125,7.875
2004-01-01,Fairfax,0.012353,0.442105,3.625,11.25
2004-01-01,Fairfax,0.0118819999999999,0.389474,9.0,17.083333
2004-01-01,Fairfax,0.011,0.689474,12.041667,20.333333
2005-01-01,Maricopa,0.011294,1.073684,2.333333,27.541667
2005-01-01,Maricopa,0.011706,1.126316,0.708333,18.583333
2005-01-01,Pima,0.007941,0.447368,1.166667,19.0
2005-01-01,Contra Costa,0.024529,0.422222,0.0,8.652174
2005-01-01,Contra Costa,0.022471,0.2,0.227273,3.4347830000000004
2005-01-01,Contra Costa,0.020647,0.477778,0.590909,15.304348
2005-01-01,Contra Costa,0.024,0.311111,0.217391,5.521739
2005-01-01,Imperial,0.027941,0.405556,0.134783,13.391304000000002
2005-01-01,Los Angeles,0.010765,1.277778,0.7391300000000001,20.043478
2005-01-01,Los Angeles,0.013882,0.766667,7.913042999999999,22.086957
2005-01-01,Los Angeles,0.011824,0.722222,1.478261,23.608696
2005-01-01,Los Angeles,0.021,0.622222,3.173913,15.608695999999998
2005-01-01,Riverside,0.019294,0.761111,1.391304,14.043478
2005-01-01,Sacramento,0.012,0.35,0.086957,9.304348
2005-01-01,Sacramento,0.022,0.233333,0.130435,8.260869999999999
2005-01-01,San Bernardino,0.020882,0.068421,2.0,13.434783
2005-01-01,San Diego,0.022882,0.461111,2.0,16.695652
2005-01-01,San Diego,0.014647,1.177778,1.086957,22.826087
2005-01-01,San Diego,0.019353,0.916667,4.130434999999999,15.304348
2005-01-01,San Francisco,0.021824,0.455556,0.318182,17.695652
2005-01-01,San Francisco,0.023941,0.122222,0.0,9.913043
2005-01-01,Santa Barbara,0.034294,0.2,0.190476,1.142857
2005-01-01,Santa Barbara,0.022529,0.235714,0.1428569999999999,4.142857
2005-01-01,Santa Barbara,0.014529,0.38,0.095238,8.761905
2005-01-01,Santa Barbara,0.038059,0.0,0.047619,0.6190479999999999
2005-01-01,Santa Cruz,0.027765,0.3,1.0,1.695652
2005-01-01,Solano,0.017882,0.5,2.136364,15.826087
